Data,Operação,Ticker,Classe,Quantidade,Preço,Taxa de Liquidação/CCP,Emolumentos,Taxa de transferencia de ativos,Taxas totais,Quantidade/dia,Taxa proporcional,Preço médio com taxas,Custo total com taxas
2025-03-27,Compra,MCCI11,FII,31,"R$ 84,00","R$ 1,29","R$ 0,25","R$ 0,09","R$ 1,63",63,"R$ 0,80","R$ 84,03","R$ 2.604,80"
2025-03-27,Compra,RECR11,FII,32,"R$ 80,96",,,,"R$ 1,63",63,"R$ 0,83","R$ 80,99","R$ 2.591,55"
2025-03-25,Venda,RBRP11,FII,151,"R$ 45,22","-R$ 1,70","-R$ 0,34","-R$ 0,12","-R$ 2,16",151,"-R$ 2,16","R$ 45,21","R$ 6.826,06"
2025-03-18,Compra,SPYI11,ETF,37,"R$ 110,30","R$ 1,02","R$ 0,20",,"R$ 1,22",37,"R$ 1,22","R$ 110,33","R$ 4.082,32"
2025-01-23,Compra,SPYI11,ETF,17,"R$ 123,47","R$ 0,52","R$ 0,10",,"R$ 0,62",17,"R$ 0,62","R$ 123,51","R$ 2.099,61"
2025-01-14,Compra,SPYI11,ETF,10,"R$ 123,30","R$ 0,30","R$ 0,06",,"R$ 0,36",10,"R$ 0,36","R$ 123,34","R$ 1.233,36"
2025-01-10,Compra,SPYI11,ETF,8,"R$ 124,55","R$ 0,50","R$ 0,10",,"R$ 0,60",28,"R$ 0,17","R$ 124,57","R$ 996,57"
2025-01-10,Compra,VALE3,Ação,20,"R$ 52,01",,,,"R$ 0,60",28,"R$ 0,43","R$ 52,03","R$ 1.040,63"
2025-01-08,Compra,TGAR11,FII,24,"R$ 85,10","R$ 0,51","R$ 0,10","R$ 0,03","R$ 0,64",24,"R$ 0,64","R$ 85,13","R$ 2.043,04"
2025-01-02,Compra,SPYI11,ETF,8,"R$ 125,85","R$ 0,25","R$ 0,05",,"R$ 0,30",8,"R$ 0,30","R$ 125,89","R$ 1.007,10"
2024-12-19,Compra,SPYI11,ETF,10,"R$ 126,94","R$ 0,57","R$ 0,13",,"R$ 0,70",22,"R$ 0,32","R$ 126,97","R$ 1.269,72"
2024-12-19,Compra,HASH11,ETF,12,"R$ 85,75",,,,"R$ 0,70",22,"R$ 0,38","R$ 85,78","R$ 1.029,38"
2024-12-13,Compra,VALE3,Ação,20,"R$ 56,00","R$ 0,28","R$ 0,05",,"R$ 0,33",20,"R$ 0,33","R$ 56,02","R$ 1.120,33"
2024-11-26,Compra,TGAR11,FII,51,"R$ 99,70","R$ 1,27","R$ 0,25","R$ 0,08","R$ 1,60",51,"R$ 1,60","R$ 99,73","R$ 5.086,30"
2024-11-18,Compra,RECR11,FII,23,"R$ 75,88","R$ 0,43","R$ 0,08","R$ 0,03","R$ 0,54",23,"R$ 0,54","R$ 75,90","R$ 1.745,78"
2024-11-12,Compra,VALE3,Ação,52,"R$ 57,60","R$ 1,25","R$ 0,25",,"R$ 1,50",87,"R$ 0,90","R$ 57,62","R$ 2.996,10"
2024-11-12,Compra,VALE3,Ação,35,"R$ 58,02",,,,"R$ 1,50",87,"R$ 0,60","R$ 58,04","R$ 2.031,30"
2024-06-26,Compra,RECR11,FII,27,"R$ 86,49","R$ 0,58","R$ 0,11","R$ 0,04","R$ 0,73",27,"R$ 0,73","R$ 86,52","R$ 2.335,96"
2022-10-18,Compra,RECR11,FII,6,"R$ 87,13","R$ 0,13","R$ 0,02",,"R$ 0,15",6,"R$ 0,15","R$ 87,16","R$ 522,93"
2022-08-17,Compra,RECR11,FII,9,"R$ 95,69","R$ 0,21","R$ 0,04",,"R$ 0,25",9,"R$ 0,25","R$ 95,72","R$ 861,46"
2022-06-23,Compra,MCCI11,FII,10,"R$ 96,98","R$ 0,24","R$ 0,04",,"R$ 0,28",10,"R$ 0,28","R$ 97,01","R$ 970,08"
2022-05-19,Compra,MCCI11,FII,6,"R$ 97,95","R$ 0,14","R$ 0,02",,"R$ 0,16",6,"R$ 0,16","R$ 97,98","R$ 587,86"
2022-04-20,Compra,MCCI11,FII,3,"R$ 100,40","R$ 0,07","R$ 0,01",,"R$ 0,08",3,"R$ 0,08","R$ 100,43","R$ 301,28"
2022-03-25,Compra,MCCI11,FII,6,"R$ 99,80","R$ 0,14","R$ 0,02",,"R$ 0,16",6,"R$ 0,16","R$ 99,83","R$ 598,96"
2022-02-23,Compra,MCCI11,FII,16,"R$ 99,80","R$ 0,40","R$ 0,08",,"R$ 0,48",16,"R$ 0,48","R$ 99,83","R$ 1.597,28"
2022-02-09,Compra,MCCI11,FII,30,"R$ 101,37","R$ 2,26","R$ 0,45",,"R$ 2,71",102,"R$ 0,80","R$ 101,40","R$ 3.041,90"
2022-02-09,Compra,RBRP11,FII,42,"R$ 70,59",,,,"R$ 2,71",102,"R$ 1,12","R$ 70,62","R$ 2.965,90"
2022-02-09,Compra,RECR11,FII,30,"R$ 100,93",,,,"R$ 2,71",102,"R$ 0,80","R$ 100,96","R$ 3.028,70"
2022-01-04,Compra,RBRP11,FII,16,"R$ 77,84","R$ 0,66","R$ 0,13",,"R$ 0,79",30,"R$ 0,42","R$ 77,87","R$ 1.245,86"
2022-01-04,Compra,RECR11,FII,14,"R$ 100,70",,,,"R$ 0,79",30,"R$ 0,37","R$ 100,73","R$ 1.410,17"
2021-10-29,Compra,RBRP11,FII,10,"R$ 72,70","R$ 1,03","R$ 0,20",,"R$ 1,23",49,"R$ 0,25","R$ 72,73","R$ 727,25"
2021-10-29,Compra,RBRP11,FII,2,"R$ 72,68",,,,"R$ 1,23",49,"R$ 0,05","R$ 72,71","R$ 145,41"
2021-10-29,Compra,RBRP11,FII,16,"R$ 72,69",,,,"R$ 1,23",49,"R$ 0,40","R$ 72,72","R$ 1.163,44"
2021-10-29,Compra,RECR11,FII,21,"R$ 99,43",,,,"R$ 1,23",49,"R$ 0,53","R$ 99,46","R$ 2.088,56"
2021-09-17,Compra,MCCI11,FII,21,"R$ 101,22","R$ 0,53","R$ 0,10",,"R$ 0,63",21,"R$ 0,63","R$ 101,25","R$ 2.126,25"
2021-08-17,Compra,RBRP11,FII,9,"R$ 77,65","R$ 0,95","R$ 0,19",,"R$ 1,14",43,"R$ 0,24","R$ 77,68","R$ 699,09"
2021-08-17,Compra,RBRP11,FII,14,"R$ 75,75",,,,"R$ 1,14",43,"R$ 0,37","R$ 75,78","R$ 1.060,87"
2021-08-17,Compra,RECR11,FII,20,"R$ 102,22",,,,"R$ 1,14",43,"R$ 0,53","R$ 102,25","R$ 2.044,93"
2021-07-16,Compra,MCCI11,FII,15,"R$ 103,03","R$ 1,15","R$ 0,23",,"R$ 1,38",48,"R$ 0,43","R$ 103,06","R$ 1.545,93"
2021-07-16,Compra,RBRP11,FII,18,"R$ 84,06",,,,"R$ 1,38",48,"R$ 0,52","R$ 84,09","R$ 1.513,60"
2021-07-16,Compra,RECR11,FII,15,"R$ 104,20",,,,"R$ 1,38",48,"R$ 0,43","R$ 104,23","R$ 1.563,43"
2021-07-12,Compra,RECR11,FII,30,"R$ 103,85","R$ 0,77","R$ 0,15",,"R$ 0,92",30,"R$ 0,92","R$ 103,88","R$ 3.116,42"
2021-07-07,Venda,HSML11,FII,39,"R$ 86,15","-R$ 0,83","R$ 0,16",,"-R$ 0,67",39,"-R$ 0,67","R$ 86,13","R$ 3.359,18"
2021-06-24,Compra,MCCI11,FII,1,"R$ 102,71","R$ 0,02",,,"R$ 0,02",1,"R$ 0,02","R$ 102,73","R$ 102,73"
2021-06-17,Compra,MCCI11,FII,28,"R$ 102,76","R$ 0,71","R$ 0,14",,"R$ 0,85",28,"R$ 0,85","R$ 102,79","R$ 2.878,13"
2021-06-08,Compra,HASH11,ETF,9,"R$ 31,90",,,,"R$ 0,11",25,"R$ 0,04","R$ 31,90","R$ 287,14"
2021-06-08,Compra,HASH11,ETF,16,"R$ 30,65",,,,"R$ 0,11",25,"R$ 0,07","R$ 30,65","R$ 490,47"
2021-05-21,Compra,HASH11,ETF,12,"R$ 36,10","R$ 0,10",,"R$ 0,30","R$ 0,40",12,"R$ 0,40","R$ 36,13","R$ 433,60"
2021-03-10,Compra,HSML11,FII,12,"R$ 89,48","R$ 0,26","R$ 0,05",,"R$ 0,31",12,"R$ 0,31","R$ 89,51","R$ 1.074,07"
2021-02-19,Compra,MCCI11,FII,10,"R$ 103,47","R$ 0,25","R$ 0,05",,"R$ 0,30",10,"R$ 0,30","R$ 103,50","R$ 1.035,00"
2021-02-09,Compra,HSML11,FII,10,"R$ 96,38","R$ 0,72","R$ 0,14",,"R$ 0,86",30,"R$ 0,29","R$ 96,41","R$ 964,09"
2021-02-09,Compra,HSML11,FII,10,"R$ 96,49",,,,"R$ 0,86",30,"R$ 0,29","R$ 96,52","R$ 965,19"
2021-02-09,Compra,RBRP11,FII,10,"R$ 98,55",,,,"R$ 0,86",30,"R$ 0,29","R$ 98,58","R$ 985,79"
2020-06-29,Compra,HSML11,FII,3,"R$ 89,60","R$ 0,14","R$ 0,01",,"R$ 0,15",6,"R$ 0,08","R$ 89,63","R$ 268,88"
2020-06-29,Compra,RBRP11,FII,3,"R$ 86,80",,,,"R$ 0,15",6,"R$ 0,08","R$ 86,83","R$ 260,48"
2020-05-08,Compra,HSML11,FII,3,"R$ 80,04","R$ 0,15","R$ 0,01",,"R$ 0,16",7,"R$ 0,07","R$ 80,06","R$ 240,19"
2020-05-08,Compra,RBRP11,FII,4,"R$ 77,40",,,,"R$ 0,16",7,"R$ 0,09","R$ 77,42","R$ 309,69"
2020-03-03,Compra,HSML11,FII,1,"R$ 118,02","R$ 0,03",,,"R$ 0,03",1,"R$ 0,03","R$ 118,05","R$ 118,05"
